"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"avg_lat"	"avg_lon"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"747"	"0"	"41196"	"11.0349"	"8.259513774289480000"	"0.402522459622208300"	"3.0181"	"8.8141"	"8.8156"	"8.7796"	"18.7799"	"58.687249"	"41.374588524821890000"	"-8.754533902313101000"	"24"	"0.0583"	"3"	"0.0073"	"0"	"0.0000"	"2"	"0.0049"	"3"	"0.0073"	"0"	"0.0000"
"676"	"2629"	"41182"	"11.0312"	"28.738441314045843000"	"1.200432498981534500"	"3.0014"	"7.9205"	"7.9363"	"7.9119"	"16.5349"	"52.819411"	"41.374501550809896000"	"-8.754539871513026000"	"9"	"0.0219"	"9"	"0.0219"	"78"	"0.1894"	"4"	"0.0097"	"6"	"0.0146"	"9"	"0.0219"
"592"	"2330"	"41072"	"11.0017"	"33.814490061779225000"	"1.199032089238274900"	"2.9984"	"7.5520"	"7.6047"	"7.6357"	"15.7932"	"50.649842"	"41.374462800018870000"	"-8.754518320790368000"	"9"	"0.0219"	"16"	"0.0390"	"82"	"0.1996"	"3"	"0.0073"	"16"	"0.0390"	"8"	"0.0195"
"50"	"59"	"32104"	"8.5995"	"0.823906748713852600"	"0.200321336356811070"	"3.0012"	"7.7283"	"7.7407"	"7.7669"	"16.1476"	"51.635301"	"41.374514340344550000"	"-8.754738166853363000"	"14"	"0.0436"	"4"	"0.0125"	"49"	"0.1526"	"12"	"0.0374"	"11"	"0.0343"	"0"	"0.0000"
"194"	"1226"	"20566"	"5.5089"	"8.721796177520384000"	"0.410164047441282430"	"3.0007"	"7.8478"	"7.9232"	"7.8864"	"16.4058"	"52.572003"	"41.374668341246660000"	"-8.754585005592720000"	"6"	"0.0292"	"6"	"0.0292"	"42"	"0.2042"	"5"	"0.0243"	"4"	"0.0194"	"0"	"0.0000"
"453"	"0"	"20546"	"5.5035"	"23.714977657389970000"	"0.701728686317547600"	"3.0023"	"8.6937"	"8.6737"	"8.7328"	"18.4546"	"58.000463"	"41.374711139760220000"	"-8.754521656816562000"	"11"	"0.0535"	"2"	"0.0097"	"40"	"0.1947"	"4"	"0.0195"	"0"	"0.0000"	"0"	"0.0000"
"574"	"0"	"20543"	"5.5027"	"5.989775482835376000"	"0.402362761903518300"	"3.0158"	"7.5803"	"7.5609"	"7.5566"	"15.5694"	"50.439665"	"41.374633874125806000"	"-8.754544782084517000"	"5"	"0.0243"	"5"	"0.0243"	"37"	"0.1801"	"13"	"0.0633"	"8"	"0.0389"	"5"	"0.0243"
"25"	"598"	"16029"	"4.2936"	"6.152315627004733000"	"0.399822177882649400"	"2.9966"	"7.5691"	"7.6378"	"7.5470"	"15.6957"	"50.564303"	"41.374576560047500000"	"-8.754700039237374000"	"8"	"0.0499"	"5"	"0.0312"	"30"	"0.1872"	"6"	"0.0374"	"6"	"0.0374"	"11"	"0.0686"
"592"	"2168"	"10373"	"2.7786"	"33.792051525845956000"	"1.200170164379264000"	"2.9984"	"7.5705"	"7.5294"	"7.5592"	"15.6947"	"50.353627"	"41.374769859745170000"	"-8.754503572210490000"	"0"	"0.0000"	"5"	"0.0482"	"15"	"0.1446"	"4"	"0.0386"	"3"	"0.0289"	"0"	"0.0000"
"359"	"830"	"10335"	"2.7684"	"48.509159126159910000"	"1.203025098398672600"	"2.9995"	"7.5234"	"7.4605"	"7.5401"	"15.3448"	"50.053269"	"41.374378858552930000"	"-8.754486152232454000"	"6"	"0.0581"	"2"	"0.0194"	"182"	"1.7610"	"1"	"0.0097"	"2"	"0.0194"	"8"	"0.0774"
"158"	"1136"	"4746"	"1.2713"	"9.654336350832214000"	"0.606596341476729800"	"2.9949"	"7.6380"	"7.5105"	"7.5413"	"15.8930"	"50.421867"	"41.391300861020530000"	"-8.753552967049611000"	"0"	"0.0000"	"0"	"0.0000"	"8"	"0.1686"	"0"	"0.0000"	"1"	"0.0211"	"2"	"0.0421"
"109"	"703"	"3976"	"1.0650"	"1.036395134067001700"	"0.603217689181777300"	"3.0068"	"9.2093"	"9.1844"	"9.1771"	"19.7228"	"61.268174"	"41.376621129791660000"	"-8.758576393090990000"	"2"	"0.0503"	"0"	"0.0000"	"8"	"0.2012"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0252"
"915"	"0"	"3088"	"0.8272"	"10.510415600603109000"	"0.501996577109350100"	"3.0010"	"8.2367"	"8.2296"	"8.0839"	"17.2597"	"54.556040"	"41.374769788377050000"	"-8.754774769165920000"	"2"	"0.0648"	"0"	"0.0000"	"2"	"0.0648"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0324"
"37"	"55"	"2592"	"0.6943"	"10.323420865576209000"	"0.604360467248400800"	"3.0008"	"7.7396"	"7.7515"	"7.8785"	"16.1404"	"51.932469"	"41.378475740693120000"	"-8.758323434459715000"	"0"	"0.0000"	"0"	"0.0000"	"6"	"0.2315"	"2"	"0.0772"	"1"	"0.0386"	"0"	"0.0000"
