pokemon_id,form,count_poke,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
261,1367,2929,1061.2319,14.003145213860732,0.5106003343651437,2.9935,7.4896,7.4756,7.5609,15.5586,50.058006,37.08843292505979,-8.10691501399212,0,0.0000,0,0.0000,6,0.2048,2,0.0683,2,0.0683,0,0.0000
176,0,2913,1055.4348,3.286031797963076,0.6099254453546438,2.9938,7.9162,7.7947,7.7923,16.1916,52.229471,37.093830990102425,-8.16781506915391,0,0.0000,0,0.0000,5,0.1716,0,0.0000,1,0.0343,3,0.1030
27,51,2730,989.1304,12.327731907411373,0.6010131881241396,3.0088,8.9685,9.0267,9.0026,19.4846,59.995136,37.10266932953805,-8.081315786220026,2,0.0733,0,0.0000,5,0.1832,0,0.0000,2,0.0733,0,0.0000
287,0,2698,977.5362,24.2850452391448,0.7857119639714559,2.9918,8.0841,8.1334,8.2309,16.9563,54.329963,37.10025345055022,-8.105848473610214,0,0.0000,0,0.0000,2,0.0741,1,0.0371,0,0.0000,0,0.0000
580,0,2661,964.1304,5.652794435032325,0.5001500360121721,3.0004,7.6054,7.5468,7.5351,15.7865,50.416396,37.104590706882625,-8.131393388783467,0,0.0000,0,0.0000,0,0.0000,1,0.0376,1,0.0376,0,0.0000
590,0,2518,912.3188,1.0235190172224786,0.19960223791959553,3.0004,9.1700,9.1104,9.0933,19.4106,60.830493,37.094463006458746,-8.121953128340609,0,0.0000,0,0.0000,4,0.1589,0,0.0000,1,0.0397,0,0.0000
37,55,2502,906.5217,10.168841215144726,0.5999942630684314,2.9928,8.7734,8.7110,8.9105,18.8337,58.655244,37.09703044700972,-8.08861828709391,0,0.0000,0,0.0000,8,0.3197,0,0.0000,0,0.0000,1,0.0400
133,0,2452,888.4058,6.695946029188388,0.3008143339263576,3.0086,7.7834,7.6709,7.8511,16.2316,51.789963,37.09487404897017,-8.121172181288879,1,0.0408,1,0.0408,3,0.1223,0,0.0000,5,0.2039,5,0.2039
431,0,2290,829.7101,4.025661629508707,0.5012487882789747,2.9965,7.9821,7.9638,7.9406,17.1127,53.080965,37.09494844794366,-8.102644802402525,0,0.0000,0,0.0000,4,0.1747,1,0.0437,0,0.0000,0,0.0000
316,0,2251,815.5797,10.661378949244252,0.4114243473486438,3.0018,7.9787,8.0493,7.9867,16.7854,53.36602,37.099644348133886,-8.09098268161319,1,0.0444,0,0.0000,3,0.1333,0,0.0000,0,0.0000,0,0.0000
684,0,2207,799.6377,3.6017418211009224,0.40077375298589807,2.9995,7.8396,7.7784,8.0181,16.8233,52.524916,37.09506100125119,-8.092617905169533,1,0.0453,0,0.0000,8,0.3625,0,0.0000,1,0.0453,1,0.0453
529,0,2160,782.6087,8.6540696143331,0.29937128481792047,3.0014,8.9102,8.9056,9.1037,19.2454,59.82094,37.092079509958204,-8.11214667361588,2,0.0926,0,0.0000,6,0.2778,0,0.0000,2,0.0926,0,0.0000
