"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"avg_lat"	"avg_lon"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"747"	"0"	"97233"	"11.1551"	"8.252071260407105000"	"0.402255301482896100"	"3.0165"	"8.8690"	"8.8342"	"8.8313"	"18.8575"	"58.965465"	"41.171823429778360000"	"-8.676985213843045000"	"41"	"0.0422"	"5"	"0.0051"	"0"	"0.0000"	"6"	"0.0062"	"9"	"0.0093"	"0"	"0.0000"
"676"	"2629"	"96570"	"11.0790"	"28.761897241645560000"	"1.200535884083273000"	"3.0012"	"7.8831"	"7.8463"	"7.9046"	"16.3977"	"52.520086"	"41.171703005201216000"	"-8.676883490325459000"	"28"	"0.0290"	"21"	"0.0217"	"178"	"0.1843"	"2"	"0.0021"	"23"	"0.0238"	"28"	"0.0290"
"592"	"2330"	"96494"	"11.0703"	"33.825415465246300000"	"1.199664826484529300"	"3.0004"	"7.5947"	"7.6165"	"7.5996"	"15.7090"	"50.690602"	"41.171711418474786000"	"-8.676890909004520000"	"18"	"0.0187"	"21"	"0.0218"	"199"	"0.2062"	"16"	"0.0166"	"38"	"0.0394"	"20"	"0.0207"
"50"	"59"	"67526"	"7.7469"	"0.821962902116517600"	"0.200235588736684300"	"3.0007"	"7.7612"	"7.7407"	"7.7704"	"16.1369"	"51.716169"	"41.172355668785520000"	"-8.678339204548237000"	"18"	"0.0267"	"14"	"0.0207"	"128"	"0.1896"	"26"	"0.0385"	"19"	"0.0281"	"0"	"0.0000"
"453"	"0"	"48615"	"5.5774"	"23.620099238876147000"	"0.700581230498308800"	"2.9993"	"8.7436"	"8.7356"	"8.7210"	"18.5661"	"58.222607"	"41.171624907592980000"	"-8.676823787475556000"	"21"	"0.0432"	"3"	"0.0062"	"82"	"0.1687"	"6"	"0.0123"	"5"	"0.0103"	"6"	"0.0123"
"574"	"0"	"48476"	"5.5614"	"5.972229519964142000"	"0.401907548514056300"	"3.0158"	"7.5234"	"7.5171"	"7.4725"	"15.5695"	"50.028831"	"41.171746922362840000"	"-8.676969787855226000"	"10"	"0.0206"	"14"	"0.0289"	"121"	"0.2496"	"14"	"0.0289"	"17"	"0.0351"	"10"	"0.0206"
"194"	"1226"	"48137"	"5.5225"	"8.726618838368703000"	"0.410277564260947900"	"3.0006"	"7.8407"	"7.8115"	"7.8826"	"16.4170"	"52.299672"	"41.171586573155190000"	"-8.676830922657413000"	"15"	"0.0312"	"8"	"0.0166"	"91"	"0.1890"	"15"	"0.0312"	"4"	"0.0083"	"0"	"0.0000"
"25"	"598"	"33752"	"3.8722"	"6.138213677882668000"	"0.399389272655991170"	"2.9961"	"7.6202"	"7.6524"	"7.6196"	"15.7326"	"50.871651"	"41.172337846066120000"	"-8.678383677695575000"	"11"	"0.0326"	"3"	"0.0089"	"67"	"0.1985"	"3"	"0.0089"	"14"	"0.0415"	"17"	"0.0504"
"359"	"830"	"24554"	"2.8170"	"48.251504109923864000"	"1.199874840305743300"	"3.0004"	"7.5179"	"7.4224"	"7.4992"	"15.4681"	"49.865622"	"41.171781834891554000"	"-8.676947444256271000"	"10"	"0.0407"	"5"	"0.0204"	"399"	"1.6250"	"2"	"0.0081"	"4"	"0.0163"	"4"	"0.0163"
"592"	"2168"	"24192"	"2.7754"	"33.904531160740720000"	"1.201183068237822600"	"2.9967"	"7.5543"	"7.6159"	"7.6134"	"15.6687"	"50.630433"	"41.171664410904410000"	"-8.676854040989523000"	"2"	"0.0083"	"6"	"0.0248"	"45"	"0.1860"	"5"	"0.0207"	"4"	"0.0165"	"7"	"0.0289"
"396"	"1658"	"13466"	"1.5449"	"2.044212784853286700"	"0.299724807026888030"	"2.9994"	"7.9155"	"7.8568"	"7.8713"	"16.5140"	"52.541390"	"41.169554043831866000"	"-8.677759032806106000"	"2"	"0.0149"	"2"	"0.0149"	"18"	"0.1337"	"6"	"0.0446"	"3"	"0.0223"	"4"	"0.0297"
"109"	"703"	"11872"	"1.3620"	"1.023777646548420700"	"0.599505420808122000"	"3.0011"	"9.2237"	"9.2118"	"9.2233"	"19.7393"	"61.463958"	"41.173693445899710000"	"-8.676751279175157000"	"5"	"0.0421"	"0"	"0.0000"	"26"	"0.2190"	"0"	"0.0000"	"1"	"0.0084"	"11"	"0.0927"
"915"	"0"	"7202"	"0.8263"	"10.444972250434082000"	"0.499572863781867940"	"2.9986"	"8.0294"	"8.0482"	"8.1330"	"16.8735"	"53.801378"	"41.171642032251300000"	"-8.676805069867750000"	"4"	"0.0555"	"2"	"0.0278"	"16"	"0.2222"	"4"	"0.0555"	"2"	"0.0278"	"3"	"0.0417"
"155"	"1127"	"7069"	"0.8110"	"8.048677329651381000"	"0.508151099619272300"	"2.9925"	"7.7324"	"7.8147"	"7.7680"	"15.9163"	"51.811200"	"41.163750003110410000"	"-8.665501705908550000"	"2"	"0.0283"	"4"	"0.0566"	"17"	"0.2405"	"1"	"0.0141"	"1"	"0.0141"	"0"	"0.0000"
