pokemon_id,form,count_poke,avg_weight,avg_height,avg_size,avg_atk,avg_def,avg_sta,avg_level,avg_iv,avg_lat,avg_lon,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
170,0,2002,725.3623,12.35647586671201,0.5111784535395848,3.0050,8.0430,8.1114,8.0769,16.5769,53.847168,41.298655982571894,-7.736518327125307,0,0.0000,0,0.0000,2,0.0999,2,0.0999,0,0.0000,0,0.0000
273,625,1948,705.7971,4.101336867703985,0.5108946617530075,3.0051,8.1976,8.2346,8.1735,17.3455,54.679538,41.29905776769208,-7.736857403689112,2,0.1027,1,0.0513,5,0.2567,0,0.0000,0,0.0000,0,0.0000
109,703,1932,700.0000,1.026728160062315,0.6000268304755229,3.0005,9.1294,9.0440,9.0756,19.7101,60.55323,41.29825149317214,-7.735541625577603,1,0.0518,0,0.0000,4,0.2070,0,0.0000,0,0.0000,1,0.0518
736,0,1927,698.1884,4.473232886738027,0.3980380870019084,3.0016,7.6917,7.7473,7.7649,16.4551,51.564338,41.29859250546641,-7.735963862359375,0,0.0000,0,0.0000,2,0.1038,1,0.0519,1,0.0519,1,0.0519
585,587,1822,660.1449,19.914712549243298,0.5990305945466461,2.9972,8.4067,8.4616,8.4056,17.4440,56.164237,41.299551278022356,-7.736685360860159,2,0.1098,0,0.0000,0,0.0000,0,0.0000,1,0.0549,0,0.0000
702,0,1787,647.4638,2.253791694219265,0.19959295920526463,3.0034,8.5853,9.0285,8.8556,18.6950,58.821013,41.29853345760117,-7.7341153380270615,1,0.0560,0,0.0000,2,0.1119,0,0.0000,1,0.0560,0,0.0000
921,0,1755,635.8696,2.572267499895705,0.30107728048666316,3.0017,7.9077,7.6991,7.7664,16.7852,51.940547,41.29872240677169,-7.735992584849047,0,0.0000,0,0.0000,0,0.0000,1,0.0570,0,0.0000,1,0.0570
158,1136,1664,602.8986,9.825207052035974,0.6118410356844273,3.0000,7.6803,7.8035,7.5775,16.0361,51.247338,41.299359719800606,-7.737847167722028,1,0.0601,0,0.0000,4,0.2404,0,0.0000,1,0.0601,0,0.0000
152,1118,1658,600.7246,6.553365701678005,0.8882505378596525,2.9976,7.8010,7.9994,7.8486,16.6230,52.553215,41.29814286562703,-7.739504451846802,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2,0.1206,1,0.0603
263,946,1632,591.3043,17.794961124933007,0.397779234636408,2.9957,7.8664,7.9853,8.0227,16.1072,53.05413,41.298693766296594,-7.736522989150238,0,0.0000,1,0.0613,24,1.4706,0,0.0000,1,0.0613,0,0.0000
590,0,1631,590.9420,1.0372512177912736,0.20163763371164814,3.0025,9.0852,9.1091,9.1907,19.4243,60.85569,41.29704046488958,-7.737407604356618,0,0.0000,0,0.0000,7,0.4292,0,0.0000,0,0.0000,0,0.0000
155,1127,1548,560.8696,8.320516532833137,0.5160901623636388,3.0058,8.0840,8.0349,7.9935,16.5782,53.583114,41.2993953954303,-7.737179456267889,0,0.0000,0,0.0000,1,0.0646,0,0.0000,2,0.1292,1,0.0646
519,0,1496,542.0290,2.1462967816919565,0.29850150504333767,2.9920,8.3082,8.2687,8.2259,16.3864,55.11738,41.29790054674611,-7.737098416436927,1,0.0668,0,0.0000,3,0.2005,1,0.0668,0,0.0000,0,0.0000
316,0,1431,518.4783,10.582285008923646,0.41084926155253276,2.9965,8.6953,8.9616,8.7442,18.5458,58.669162,41.29941990775092,-7.737385733770908,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0699,0,0.0000
304,1469,1392,504.3478,62.06215947934951,0.41131488151377305,3.0050,7.8872,8.0481,7.8901,16.4023,52.945402,41.29926299277462,-7.736880452621329,0,0.0000,0,0.0000,3,0.2155,0,0.0000,0,0.0000,0,0.0000
602,0,1267,459.0580,0.3106994050764755,0.2008831909169322,2.9945,8.8950,9.0868,9.0710,19.5359,60.117443,41.29858789766222,-7.73669698366505,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
527,0,1248,452.1739,2.169055888460652,0.4018025816012691,2.9904,7.5697,7.4768,7.5537,15.0489,50.2227,41.29883717032854,-7.7322326285739855,0,0.0000,2,0.1603,2,0.1603,0,0.0000,0,0.0000,0,0.0000
265,0,1204,436.2319,3.6964348724343,0.2997274477093742,2.9842,8.1080,7.9120,7.9527,16.2982,53.272351,41.29823070782911,-7.735949690511183,0,0.0000,0,0.0000,3,0.2492,0,0.0000,0,0.0000,0,0.0000
434,791,1193,432.2464,19.786061299116994,0.4003982232557257,3.0126,8.6488,8.6521,8.6287,18.8173,57.621174,41.29861509886572,-7.734483014524721,1,0.0838,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
13,616,1162,421.0145,3.313322498385484,0.3016775886709285,3.0043,8.8528,8.7849,8.6265,18.2831,58.364837,41.29808589599306,-7.73697701052147,0,0.0000,0,0.0000,1,0.0861,0,0.0000,0,0.0000,0,0.0000
427,0,1158,419.5652,5.561591454030733,0.39766728738806245,2.9870,8.0509,7.9577,8.1123,16.9706,53.601935,41.2985640402425,-7.736381319387243,0,0.0000,0,0.0000,2,0.1727,0,0.0000,0,0.0000,0,0.0000
