"pokemon_id"	"form"	"count_poke"	"percentage"	"avg_weight"	"avg_height"	"avg_size"	"avg_atk"	"avg_def"	"avg_sta"	"avg_level"	"avg_iv"	"iv_100"	"iv100_percentage"	"iv_0"	"iv0_percentage"	"shinies"	"shiny_odds"	"little_top_1"	"little_top1_percentage"	"great_top_1"	"great_top1_percentage"	"ultra_top_1"	"ultra_top1_percentage"
"305"	"1472"	"13790"	"0.0507"	"123.053896088466790000"	"0.891168968745937300"	"3.0001"	"7.8258"	"7.8318"	"7.9837"	"16.3629"	"52.536292"	"6"	"0.0435"	"4"	"0.0290"	"0"	"0.0000"	"3"	"0.0218"	"3"	"0.0218"	"6"	"0.0435"
"662"	"0"	"13591"	"0.0500"	"16.404588731045607000"	"0.699596343700133200"	"2.9975"	"7.9280"	"7.9199"	"7.9308"	"16.4133"	"52.841653"	"3"	"0.0221"	"1"	"0.0074"	"0"	"0.0000"	"0"	"0.0000"	"8"	"0.0589"	"6"	"0.0441"
"543"	"0"	"13352"	"0.0491"	"5.448801165463553500"	"0.400922858125720600"	"3.0008"	"9.0234"	"9.0845"	"9.0485"	"19.3552"	"60.347373"	"4"	"0.0300"	"0"	"0.0000"	"26"	"0.1947"	"0"	"0.0000"	"0"	"0.0000"	"2"	"0.0150"
"136"	"0"	"13046"	"0.0480"	"25.507417190496973000"	"0.898150606825461400"	"2.9973"	"8.0588"	"8.1167"	"8.0563"	"16.9439"	"53.848449"	"3"	"0.0230"	"2"	"0.0153"	"0"	"0.0000"	"1"	"0.0077"	"1"	"0.0077"	"1"	"0.0077"
"180"	"649"	"13005"	"0.0479"	"13.697767706192083000"	"0.791466941924305600"	"3.0002"	"7.6118"	"7.6564"	"7.6141"	"15.6780"	"50.849706"	"2"	"0.0154"	"4"	"0.0308"	"0"	"0.0000"	"3"	"0.0231"	"6"	"0.0461"	"8"	"0.0615"
"339"	"0"	"12812"	"0.0471"	"1.954559592158591900"	"0.411147727641437900"	"3.0038"	"8.1165"	"8.0354"	"8.0831"	"17.0279"	"53.855573"	"2"	"0.0156"	"4"	"0.0312"	"31"	"0.2420"	"2"	"0.0156"	"1"	"0.0078"	"0"	"0.0000"
"696"	"0"	"12278"	"0.0452"	"26.589292153974785000"	"0.799128075286883200"	"2.9981"	"8.1215"	"8.1642"	"8.1729"	"17.1530"	"54.352502"	"3"	"0.0244"	"2"	"0.0163"	"27"	"0.2199"	"2"	"0.0163"	"2"	"0.0163"	"4"	"0.0326"
"371"	"755"	"12141"	"0.0447"	"42.980829544039060000"	"0.608714293280145800"	"2.9982"	"7.6534"	"7.5741"	"7.5392"	"15.7437"	"50.592594"	"1"	"0.0082"	"2"	"0.0165"	"31"	"0.2553"	"1"	"0.0082"	"3"	"0.0247"	"6"	"0.0494"
"570"	"0"	"11991"	"0.0441"	"12.744998914291614000"	"0.698465467387947100"	"2.9995"	"7.4841"	"7.4935"	"7.5005"	"15.5983"	"49.951332"	"4"	"0.0334"	"1"	"0.0083"	"31"	"0.2585"	"0"	"0.0000"	"2"	"0.0167"	"3"	"0.0250"
"286"	"0"	"11961"	"0.0440"	"40.347714075612460000"	"1.191379516356740000"	"2.9982"	"8.9979"	"8.9937"	"8.9893"	"19.1655"	"59.957596"	"6"	"0.0502"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"197"	"0"	"11933"	"0.0439"	"27.628390813308496000"	"0.988399661281855400"	"3.0013"	"7.5329"	"7.5521"	"7.4624"	"15.4539"	"50.105309"	"1"	"0.0084"	"5"	"0.0419"	"0"	"0.0000"	"0"	"0.0000"	"6"	"0.0503"	"1"	"0.0084"
"196"	"0"	"11926"	"0.0439"	"27.111736839557047000"	"0.888299532767926100"	"2.9959"	"7.6371"	"7.6243"	"7.5769"	"15.5402"	"50.751684"	"4"	"0.0335"	"3"	"0.0252"	"0"	"0.0000"	"1"	"0.0084"	"1"	"0.0084"	"5"	"0.0419"
"221"	"1280"	"11768"	"0.0433"	"57.167834876862260000"	"1.088599931394497000"	"2.9969"	"7.8131"	"7.8792"	"7.8240"	"16.3689"	"52.258335"	"6"	"0.0510"	"2"	"0.0170"	"0"	"0.0000"	"1"	"0.0085"	"2"	"0.0170"	"7"	"0.0595"
"765"	"0"	"10776"	"0.0397"	"77.805224651433760000"	"1.496364227435014400"	"2.9922"	"7.8937"	"7.9487"	"7.8959"	"16.7105"	"52.751808"	"2"	"0.0186"	"2"	"0.0186"	"21"	"0.1949"	"2"	"0.0186"	"2"	"0.0186"	"2"	"0.0186"
"397"	"1661"	"10727"	"0.0395"	"15.928380971105353000"	"0.600366900510156700"	"2.9984"	"7.9260"	"7.9794"	"7.9663"	"16.5532"	"53.048287"	"1"	"0.0093"	"2"	"0.0186"	"0"	"0.0000"	"3"	"0.0280"	"2"	"0.0186"	"9"	"0.0839"
"53"	"65"	"9666"	"0.0356"	"32.728215997626470000"	"0.999743086490434200"	"2.9996"	"7.8761"	"7.8984"	"7.8984"	"16.5285"	"52.606412"	"3"	"0.0310"	"1"	"0.0103"	"0"	"0.0000"	"1"	"0.0103"	"3"	"0.0310"	"0"	"0.0000"
"343"	"0"	"9327"	"0.0343"	"22.064849329562600000"	"0.510148848622490500"	"3.0014"	"8.4419"	"8.3383"	"8.4114"	"17.8609"	"55.981309"	"2"	"0.0214"	"2"	"0.0214"	"13"	"0.1394"	"0"	"0.0000"	"2"	"0.0214"	"0"	"0.0000"
"345"	"1568"	"9206"	"0.0339"	"24.463362190342690000"	"0.991025480208129500"	"2.9953"	"8.3104"	"8.3615"	"8.2891"	"17.5406"	"55.468914"	"2"	"0.0217"	"4"	"0.0434"	"13"	"0.1412"	"1"	"0.0109"	"4"	"0.0434"	"2"	"0.0217"
"428"	"0"	"8683"	"0.0320"	"34.173176485969830000"	"1.198493214275286400"	"2.9972"	"8.0101"	"8.0430"	"7.9902"	"16.7607"	"53.429590"	"4"	"0.0461"	"1"	"0.0115"	"90"	"1.0365"	"1"	"0.0115"	"2"	"0.0230"	"1"	"0.0115"
"93"	"0"	"8600"	"0.0316"	"0.102070616561235920"	"1.595944639210604700"	"2.9966"	"8.9030"	"8.9606"	"9.0773"	"19.2087"	"59.868757"	"2"	"0.0233"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0116"
"421"	"95"	"8512"	"0.0313"	"9.577120657155410000"	"0.500840334552405300"	"3.0027"	"9.3773"	"9.3683"	"9.3902"	"20.1427"	"62.524036"	"4"	"0.0470"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
"347"	"1574"	"8392"	"0.0309"	"12.900554035205202000"	"0.712105395386830900"	"3.0035"	"8.1243"	"8.1524"	"8.0301"	"17.0167"	"54.015179"	"4"	"0.0477"	"1"	"0.0119"	"10"	"0.1192"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0119"
"507"	"0"	"8374"	"0.0308"	"15.224343764759121000"	"0.903901057495778600"	"3.0006"	"8.0631"	"8.0543"	"8.1332"	"17.0616"	"53.890052"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"3"	"0.0358"	"2"	"0.0239"
"123"	"247"	"8307"	"0.0306"	"56.872035224492490000"	"1.494598173893348500"	"2.9949"	"7.6944"	"7.7053"	"7.7166"	"16.0885"	"51.369558"	"3"	"0.0361"	"0"	"0.0000"	"116"	"1.3964"	"3"	"0.0361"	"0"	"0.0000"	"3"	"0.0361"
"704"	"0"	"7925"	"0.0292"	"2.873217057464940700"	"0.300160703189509160"	"2.9992"	"7.5929"	"7.5450"	"7.6380"	"15.9007"	"50.613098"	"0"	"0.0000"	"0"	"0.0000"	"18"	"0.2271"	"0"	"0.0000"	"3"	"0.0379"	"1"	"0.0126"
"698"	"0"	"7639"	"0.0281"	"25.739199467598570000"	"1.298500404573090600"	"2.9997"	"7.9288"	"7.9470"	"8.0077"	"16.6102"	"53.074420"	"3"	"0.0393"	"1"	"0.0131"	"19"	"0.2487"	"1"	"0.0131"	"4"	"0.0524"	"5"	"0.0655"
"422"	"96"	"7244"	"0.0267"	"6.518504603624772500"	"0.301368044664853500"	"3.0079"	"7.4938"	"7.5998"	"7.6231"	"15.6666"	"50.481666"	"2"	"0.0276"	"0"	"0.0000"	"11"	"0.1518"	"4"	"0.0552"	"1"	"0.0138"	"3"	"0.0414"
"26"	"49"	"6931"	"0.0255"	"30.907560053608270000"	"0.802174677833643200"	"3.0038"	"7.6943"	"7.6936"	"7.6452"	"15.9077"	"51.184507"	"1"	"0.0144"	"3"	"0.0433"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"3"	"0.0433"
"118"	"0"	"6769"	"0.0249"	"15.425331112303585000"	"0.600802767001828200"	"2.9987"	"7.5849"	"7.6147"	"7.4813"	"15.5343"	"50.402020"	"1"	"0.0148"	"3"	"0.0443"	"20"	"0.2955"	"2"	"0.0295"	"1"	"0.0148"	"1"	"0.0148"
"354"	"911"	"6534"	"0.0240"	"12.846931353357492000"	"1.090788542639975500"	"3.0018"	"7.5242"	"7.5280"	"7.4890"	"15.7342"	"50.091495"	"1"	"0.0153"	"1"	"0.0153"	"47"	"0.7193"	"1"	"0.0153"	"4"	"0.0612"	"4"	"0.0612"
"782"	"0"	"6456"	"0.0238"	"30.596477266948416000"	"0.601487036482636000"	"3.0091"	"7.6842"	"7.6608"	"7.5745"	"15.8414"	"50.932119"	"1"	"0.0155"	"0"	"0.0000"	"0"	"0.0000"	"1"	"0.0155"	"1"	"0.0155"	"2"	"0.0310"
"313"	"0"	"6138"	"0.0226"	"18.096335785546128000"	"0.708683714966044100"	"3.0021"	"7.8309"	"7.9461"	"7.9560"	"16.6807"	"52.739928"	"2"	"0.0326"	"1"	"0.0163"	"13"	"0.2118"	"0"	"0.0000"	"2"	"0.0326"	"0"	"0.0000"
"20"	"47"	"5991"	"0.0220"	"18.975157328154330000"	"0.699570424157042200"	"2.9923"	"8.0771"	"8.1444"	"8.0080"	"16.8857"	"53.843354"	"0"	"0.0000"	"3"	"0.0501"	"0"	"0.0000"	"2"	"0.0334"	"4"	"0.0668"	"0"	"0.0000"
"143"	"199"	"5907"	"0.0217"	"470.793772962780960000"	"2.101295087924737600"	"3.0071"	"7.8766"	"7.8851"	"7.9555"	"16.7278"	"52.704691"	"1"	"0.0169"	"1"	"0.0169"	"9"	"0.1524"	"1"	"0.0169"	"1"	"0.0169"	"1"	"0.0169"
"631"	"0"	"5853"	"0.0215"	"59.607537252713820000"	"1.401793595133336500"	"2.9962"	"8.4770"	"8.4630"	"8.4642"	"17.6961"	"56.453867"	"4"	"0.0683"	"0"	"0.0000"	"9"	"0.1538"	"0"	"0.0000"	"1"	"0.0171"	"0"	"0.0000"
"302"	"923"	"5790"	"0.0213"	"11.283838259115214000"	"0.509904418274133500"	"3.0016"	"7.6086"	"7.5401"	"7.6169"	"15.3468"	"50.590207"	"3"	"0.0518"	"1"	"0.0173"	"46"	"0.7945"	"0"	"0.0000"	"4"	"0.0691"	"0"	"0.0000"
"79"	"1017"	"5662"	"0.0208"	"36.898453788885540000"	"1.200030345969889300"	"3.0021"	"7.6222"	"7.5876"	"7.6084"	"15.8087"	"50.707218"	"1"	"0.0177"	"2"	"0.0353"	"9"	"0.1590"	"0"	"0.0000"	"2"	"0.0353"	"3"	"0.0530"
"54"	"286"	"5623"	"0.0207"	"19.883411969769856000"	"0.795608019730039500"	"2.9938"	"7.6265"	"7.6746"	"7.5547"	"15.5751"	"50.790589"	"2"	"0.0356"	"1"	"0.0178"	"9"	"0.1601"	"3"	"0.0534"	"1"	"0.0178"	"1"	"0.0178"
"113"	"0"	"5438"	"0.0200"	"35.272610544762930000"	"1.097632817080923500"	"2.9974"	"8.0051"	"8.0515"	"8.0500"	"16.9713"	"53.570344"	"2"	"0.0368"	"1"	"0.0184"	"99"	"1.8205"	"1"	"0.0184"	"4"	"0.0736"	"2"	"0.0368"
"318"	"734"	"5413"	"0.0199"	"21.617364624051667000"	"0.794508633384210500"	"3.0041"	"7.5245"	"7.4923"	"7.5289"	"15.4792"	"50.101637"	"0"	"0.0000"	"2"	"0.0369"	"8"	"0.1478"	"1"	"0.0185"	"1"	"0.0185"	"0"	"0.0000"
"168"	"0"	"5364"	"0.0197"	"34.237019960556360000"	"1.087331880099126000"	"2.9998"	"9.1294"	"9.0628"	"9.1719"	"19.5772"	"60.809219"	"1"	"0.0186"	"1"	"0.0186"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"	"0"	"0.0000"
