hourly_date,great_top_1
0,289
1,252
2,217
3,185
4,187
5,226
6,276
7,276
8,255
9,283
10,262
11,289
12,255
13,176
14,146
15,150
16,154
17,126
18,349
19,231
20,250
21,267
22,264
23,254
