hourly_date,little_top_1
0,193
1,204
2,166
3,129
4,131
5,178
6,208
7,214
8,179
9,155
10,216
11,216
12,221
13,205
14,247
15,217
16,254
17,248
18,261
19,223
20,211
21,218
22,224
23,192
