hourly_date,ultra_top_1
0,233
1,211
2,181
3,171
4,139
5,169
6,196
7,222
8,232
9,252
10,220
11,217
12,218
13,175
14,157
15,120
16,120
17,124
18,131
19,169
20,248
21,244
22,208
23,224
