hourly_date,iv100
0,428
1,382
2,310
3,296
4,280
5,327
6,381
7,434
8,411
9,369
10,403
11,393
12,327
13,279
14,252
15,205
16,192
17,227
18,312
19,322
20,379
21,388
22,394
23,379
