hourly_date,iv0
0,198
1,194
2,171
3,155
4,152
5,148
6,183
7,193
8,181
9,176
10,179
11,189
12,209
13,200
14,239
15,279
16,246
17,247
18,278
19,256
20,227
21,195
22,200
23,195
