hourly_date,iv100
0,353
1,355
2,306
3,279
4,240
5,312
6,401
7,369
8,386
9,354
10,370
11,365
12,366
13,356
14,453
15,480
16,481
17,474
18,450
19,452
20,355
21,392
22,395
23,355
