hourly_date,iv0
0,170
1,179
2,120
3,137
4,122
5,160
6,166
7,178
8,169
9,175
10,185
11,186
12,165
13,140
14,98
15,79
16,83
17,90
18,167
19,154
20,198
21,182
22,190
23,166
