hourly_date,great_top_1
0,273
1,234
2,227
3,172
4,161
5,213
6,247
7,251
8,252
9,270
10,248
11,270
12,286
13,266
14,320
15,317
16,308
17,343
18,304
19,346
20,251
21,244
22,269
23,271
