hourly_date,little_top_1
0,207
1,188
2,175
3,159
4,146
5,183
6,193
7,193
8,196
9,196
10,217
11,241
12,208
13,156
14,100
15,108
16,108
17,98
18,169
19,151
20,188
21,205
22,201
23,206
