hourly_date,ultra_top_1
0,197
1,193
2,163
3,164
4,125
5,163
6,223
7,213
8,196
9,186
10,213
11,224
12,229
13,216
14,242
15,281
16,255
17,271
18,246
19,254
20,227
21,211
22,201
23,221
