pokemon_id,form,count_poke,percentage,avg_level,avg_iv,iv_100,iv100_percentage,iv_0,iv0_percentage,shinies,shiny_odds,little_top_1,little_top1_percentage,great_top_1,great_top1_percentage,ultra_top_1,ultra_top1_percentage
580,0,162390,30184.0149,16.9651,53.903825,64,0.0394,27,0.0166,0,0.0000,24,0.0148,31,0.0191,64,0.0394
287,0,161875,30088.2900,16.8621,53.651436,68,0.0420,33,0.0204,278,0.1717,33,0.0204,37,0.0229,29,0.0179
574,0,159488,29644.6097,16.3895,52.458216,61,0.0382,43,0.0270,259,0.1624,39,0.0245,57,0.0357,24,0.0150
554,2063,157395,29255.5762,17.1845,54.474832,63,0.0400,28,0.0178,299,0.1900,16,0.0102,37,0.0235,26,0.0165
133,0,155944,28985.8736,16.7852,53.479678,42,0.0269,26,0.0167,298,0.1911,84,0.0539,134,0.0859,222,0.1424
434,791,155024,28814.8699,17.3984,55.170822,63,0.0406,14,0.0090,0,0.0000,21,0.0135,13,0.0084,20,0.0129
527,0,155022,28814.4981,16.6089,53.064869,45,0.0290,26,0.0168,320,0.2064,52,0.0335,26,0.0168,0,0.0000
731,0,154142,28650.9294,18.0449,56.794642,74,0.0480,23,0.0149,0,0.0000,36,0.0234,23,0.0149,16,0.0104
163,0,149760,27836.4312,17.8129,56.126618,68,0.0454,11,0.0073,297,0.1983,25,0.0167,16,0.0107,0,0.0000
179,646,145121,26974.1636,15.7172,50.581241,41,0.0283,29,0.0200,282,0.1943,45,0.0310,75,0.0517,58,0.0400
592,2330,140189,26057.4349,15.6804,50.622433,40,0.0285,32,0.0228,247,0.1762,29,0.0207,67,0.0478,31,0.0221
216,1265,134838,25062.8253,16.8663,53.621023,45,0.0334,26,0.0193,270,0.2002,25,0.0185,59,0.0438,56,0.0415
613,2231,133294,24775.8364,15.4740,50.019202,34,0.0255,32,0.0240,284,0.2131,21,0.0158,17,0.0128,28,0.0210
761,0,132708,24666.9145,17.0642,54.232088,51,0.0384,24,0.0181,0,0.0000,65,0.0490,15,0.0113,33,0.0249
220,1277,132134,24560.2230,17.0531,54.16513,44,0.0333,19,0.0144,243,0.1839,25,0.0189,39,0.0295,64,0.0484
539,0,131501,24442.5651,17.4739,55.319339,41,0.0312,21,0.0160,264,0.2008,4,0.0030,11,0.0084,13,0.0099
676,2629,129013,23980.1115,16.1882,51.834512,32,0.0248,34,0.0264,233,0.1806,5,0.0039,16,0.0124,32,0.0248
265,0,128499,23884.5725,15.6856,50.476542,31,0.0241,25,0.0195,239,0.1860,33,0.0257,27,0.0210,0,0.0000
396,1658,127787,23752.2305,17.4477,55.22957,41,0.0321,18,0.0141,259,0.2027,36,0.0282,51,0.0399,21,0.0164
13,616,126349,23484.9442,17.6358,55.660327,39,0.0309,21,0.0166,243,0.1923,93,0.0736,45,0.0356,20,0.0158
52,63,125200,23271.3755,16.4409,52.379464,40,0.0319,14,0.0112,244,0.1949,24,0.0192,26,0.0208,0,0.0000
122,1080,125120,23256.5056,18.7067,58.493808,57,0.0456,7,0.0056,255,0.2038,3,0.0024,9,0.0072,60,0.0480
92,0,117546,21848.6989,17.4301,55.148026,41,0.0349,18,0.0153,229,0.1948,23,0.0196,36,0.0306,22,0.0187
29,776,117362,21814.4981,17.3644,54.994607,43,0.0366,19,0.0162,208,0.1772,22,0.0187,58,0.0494,16,0.0136
203,0,116182,21595.1673,18.0612,56.953241,54,0.0465,16,0.0138,248,0.2135,3,0.0026,4,0.0034,0,0.0000
777,0,113711,21135.8736,15.6291,50.211945,29,0.0255,31,0.0273,0,0.0000,7,0.0062,20,0.0176,29,0.0255
167,0,113570,21109.6654,17.5370,55.435877,53,0.0467,16,0.0141,238,0.2096,15,0.0132,16,0.0141,0,0.0000
100,2728,112251,20864.4981,17.1908,54.492171,38,0.0339,23,0.0205,0,0.0000,20,0.0178,15,0.0134,81,0.0722
32,776,111574,20738.6617,17.4192,55.130247,43,0.0385,12,0.0108,230,0.2061,32,0.0287,48,0.0430,15,0.0134
58,280,110455,20530.6691,17.5435,55.397948,40,0.0362,19,0.0172,212,0.1919,16,0.0145,48,0.0435,16,0.0145
38,57,107813,20039.5911,17.0198,54.091729,29,0.0269,15,0.0139,0,0.0000,5,0.0046,10,0.0093,30,0.0278
353,908,107557,19992.0074,15.4914,50.07978,22,0.0205,21,0.0195,220,0.2045,29,0.0270,39,0.0363,47,0.0437
338,0,105612,19630.4833,18.7779,58.734241,40,0.0379,8,0.0076,204,0.1932,3,0.0028,6,0.0057,56,0.0530
307,0,104391,19403.5316,18.6034,58.362997,51,0.0489,8,0.0077,202,0.1935,22,0.0211,98,0.0939,11,0.0105
